Date,Production/Deliveries/Stocks,Brick Type,Millions of Bricks,Building Material Type,Geographical Region,Unique_Key
01/09/2020,Production,Commons,9977000,Bricks,Great Britain,2020SepProduction-Commons99770000901/09/2020
01/09/2020,Deliveries(from),Commons,9754000,Bricks,Great Britain,2020SepDeliveries(from)-Commons97540000901/09/2020
01/09/2020,Stocks,Commons,35196000,Bricks,Great Britain,2020SepStocks-Commons351960000901/09/2020
01/09/2020,Production,Facings,127521000,Bricks,Great Britain,2020SepProduction-Facings1275210000901/09/2020
01/09/2020,Deliveries(from),Facings,143237000,Bricks,Great Britain,2020SepDeliveries(from)-Facings1432370000901/09/2020
01/09/2020,Stocks,Facings,289268000,Bricks,Great Britain,2020SepStocks-Facings2892680000901/09/2020
01/09/2020,Production,Engineerings,11782000,Bricks,Great Britain,2020SepProduction-Engineerings117820000901/09/2020
01/09/2020,Deliveries(from),Engineerings,12284000,Bricks,Great Britain,2020SepDeliveries(from)-Engineerings122840000901/09/2020
01/09/2020,Stocks,Engineerings,13199000,Bricks,Great Britain,2020SepStocks-Engineerings131990000901/09/2020
01/10/2020,Seasonally Adjusted Deliveries,All Types,155.2868741,Bricks,Great Britain,2020OctSeasonally Adjusted Deliveries-All Types155.28687411001/10/2020
01/10/2020,Production,All Types,156575000,Bricks,Great Britain,2020OctProduction-All Types1565750001001/10/2020
01/10/2020,Deliveries(from),All Types,167009000,Bricks,Great Britain,2020OctDeliveries(from)-All Types1670090001001/10/2020
01/10/2020,Stocks,All Types,327229000,Bricks,Great Britain,2020OctStocks-All Types3272290001001/10/2020
01/10/2020,Production,Commons,,Bricks,Great Britain,2020OctProduction-Commonsc1001/10/2020
01/10/2020,Deliveries(from),Commons,9229000,Bricks,Great Britain,2020OctDeliveries(from)-Commons92290001001/10/2020
01/10/2020,Stocks,Commons,34922000,Bricks,Great Britain,2020OctStocks-Commons349220001001/10/2020
01/10/2020,Production,Facings,136386000,Bricks,Great Britain,2020OctProduction-Facings1363860001001/10/2020
01/10/2020,Deliveries(from),Facings,144703000,Bricks,Great Britain,2020OctDeliveries(from)-Facings1447030001001/10/2020
01/10/2020,Stocks,Facings,280951000,Bricks,Great Britain,2020OctStocks-Facings2809510001001/10/2020
01/10/2020,Production,Engineerings,,Bricks,Great Britain,2020OctProduction-Engineeringsc1001/10/2020
01/10/2020,Deliveries(from),Engineerings,13077000,Bricks,Great Britain,2020OctDeliveries(from)-Engineerings130770001001/10/2020
01/10/2020,Stocks,Engineerings,11356000,Bricks,Great Britain,2020OctStocks-Engineerings113560001001/10/2020
01/11/2020,Seasonally Adjusted Deliveries,All Types,158.4346593,Bricks,Great Britain,2020NovSeasonally Adjusted Deliveries-All Types158.43465931101/11/2020
01/11/2020,Production,All Types,163511000,Bricks,Great Britain,2020NovProduction-All Types1635110001101/11/2020
01/11/2020,Deliveries(from),All Types,163941000,Bricks,Great Britain,2020NovDeliveries(from)-All Types1639410001101/11/2020
01/11/2020,Stocks,All Types,326799000,Bricks,Great Britain,2020NovStocks-All Types3267990001101/11/2020
01/11/2020,Production,Commons,,Bricks,Great Britain,2020NovProduction-Commonsc1101/11/2020
01/11/2020,Deliveries(from),Commons,9269000,Bricks,Great Britain,2020NovDeliveries(from)-Commons92690001101/11/2020
01/11/2020,Stocks,Commons,34107000,Bricks,Great Britain,2020NovStocks-Commons341070001101/11/2020
01/11/2020,Production,Facings,140616000,Bricks,Great Britain,2020NovProduction-Facings1406160001101/11/2020
01/11/2020,Deliveries(from),Facings,140697000,Bricks,Great Britain,2020NovDeliveries(from)-Facings1406970001101/11/2020
01/11/2020,Stocks,Facings,280870000,Bricks,Great Britain,2020NovStocks-Facings2808700001101/11/2020
01/11/2020,Production,Engineerings,,Bricks,Great Britain,2020NovProduction-Engineeringsc1101/11/2020
01/11/2020,Deliveries(from),Engineerings,13975000,Bricks,Great Britain,2020NovDeliveries(from)-Engineerings139750001101/11/2020
01/11/2020,Stocks,Engineerings,11822000,Bricks,Great Britain,2020NovStocks-Engineerings118220001101/11/2020
01/12/2020,Seasonally Adjusted Deliveries,All Types,162.3400762,Bricks,Great Britain,2020DecSeasonally Adjusted Deliveries-All Types162.34007621201/12/2020
01/12/2020,Production,All Types,113669000,Bricks,Great Britain,2020DecProduction-All Types1136690001201/12/2020
01/12/2020,Deliveries(from),All Types,132494000,Bricks,Great Britain,2020DecDeliveries(from)-All Types1324940001201/12/2020
01/12/2020,Stocks,All Types,307967000,Bricks,Great Britain,2020DecStocks-All Types3079670001201/12/2020
01/12/2020,Production,Commons,6059000,Bricks,Great Britain,2020DecProduction-Commons60590001201/12/2020
01/12/2020,Deliveries(from),Commons,12521000,Bricks,Great Britain,2020DecDeliveries(from)-Commons125210001201/12/2020
01/12/2020,Stocks,Commons,27645000,Bricks,Great Britain,2020DecStocks-Commons276450001201/12/2020
01/12/2020,Production,Facings,96027000,Bricks,Great Britain,2020DecProduction-Facings960270001201/12/2020
01/12/2020,Deliveries(from),Facings,107374000,Bricks,Great Britain,2020DecDeliveries(from)-Facings1073740001201/12/2020
01/12/2020,Stocks,Facings,269516000,Bricks,Great Britain,2020DecStocks-Facings2695160001201/12/2020
01/12/2020,Production,Engineerings,11583000,Bricks,Great Britain,2020DecProduction-Engineerings115830001201/12/2020
01/12/2020,Deliveries(from),Engineerings,12599000,Bricks,Great Britain,2020DecDeliveries(from)-Engineerings125990001201/12/2020
01/12/2020,Stocks,Engineerings,10806000,Bricks,Great Britain,2020DecStocks-Engineerings108060001201/12/2020
01/01/2021,Seasonally Adjusted Deliveries,All Types,160.3835106,Bricks,Great Britain,2021JanSeasonally Adjusted Deliveries-All Types160.38351060101/01/2021
01/01/2021,Production,All Types,124668000,Bricks,Great Britain,2021JanProduction-All Types1246680000101/01/2021
01/01/2021,Deliveries(from),All Types,122469000,Bricks,Great Britain,2021JanDeliveries(from)-All Types1224690000101/01/2021
01/01/2021,Stocks,All Types,310166000,Bricks,Great Britain,2021JanStocks-All Types3101660000101/01/2021
01/01/2021,Production,Commons,8166000,Bricks,Great Britain,2021JanProduction-Commons81660000101/01/2021
01/01/2021,Deliveries(from),Commons,7169000,Bricks,Great Britain,2021JanDeliveries(from)-Commons71690000101/01/2021
01/01/2021,Stocks,Commons,28642000,Bricks,Great Britain,2021JanStocks-Commons286420000101/01/2021
01/01/2021,Production,Facings,105999000,Bricks,Great Britain,2021JanProduction-Facings1059990000101/01/2021
01/01/2021,Deliveries(from),Facings,107275000,Bricks,Great Britain,2021JanDeliveries(from)-Facings1072750000101/01/2021
01/01/2021,Stocks,Facings,268240000,Bricks,Great Britain,2021JanStocks-Facings2682400000101/01/2021
01/01/2021,Production,Engineerings,10503000,Bricks,Great Britain,2021JanProduction-Engineerings105030000101/01/2021
01/01/2021,Deliveries(from),Engineerings,8025000,Bricks,Great Britain,2021JanDeliveries(from)-Engineerings80250000101/01/2021
01/01/2021,Stocks,Engineerings,13284000,Bricks,Great Britain,2021JanStocks-Engineerings132840000101/01/2021
01/02/2021,Seasonally Adjusted Deliveries,All Types,153.2405348,Bricks,Great Britain,2021FebSeasonally Adjusted Deliveries-All Types153.24053480201/02/2021
01/02/2021,Production,All Types,152019000,Bricks,Great Britain,2021FebProduction-All Types1520190000201/02/2021
01/02/2021,Deliveries(from),All Types,135238000,Bricks,Great Britain,2021FebDeliveries(from)-All Types1352380000201/02/2021
01/02/2021,Stocks,All Types,326851000,Bricks,Great Britain,2021FebStocks-All Types3268510000201/02/2021
01/02/2021,Production,Commons,9405000,Bricks,Great Britain,2021FebProduction-Commons94050000201/02/2021
01/02/2021,Deliveries(from),Commons,7499000,Bricks,Great Britain,2021FebDeliveries(from)-Commons74990000201/02/2021
01/02/2021,Stocks,Commons,30531000,Bricks,Great Britain,2021FebStocks-Commons305310000201/02/2021
