Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Year,Current Prices (£'000),Date,Geographical Region,Type,Unique_Key
" Semi-Manufactures",Clinker,Imports,2015,49491,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesClinkerImports20154949101/01/2015United Kingdom
" Semi-Manufactures",Clinker,Imports,2016,49305,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesClinkerImports20164930501/01/2016United Kingdom
" Semi-Manufactures",Clinker,Imports,2017,51769,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesClinkerImports20175176901/01/2017United Kingdom
" Semi-Manufactures",Clinker,Imports,2018,65055,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesClinkerImports20186505501/01/2018United Kingdom
" Semi-Manufactures",Clinker,Imports,2019,39541,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesClinkerImports20193954101/01/2019United Kingdom
" Semi-Manufactures",Clinker,Imports,2020,20880,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesClinkerImports20202088001/01/2020United Kingdom
" Semi-Manufactures",Clinker,Exports,2015,1368,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesClinkerExports2015136801/01/2015United Kingdom
" Semi-Manufactures",Clinker,Exports,2016,3303,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesClinkerExports2016330301/01/2016United Kingdom
" Semi-Manufactures",Clinker,Exports,2017,1646,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesClinkerExports2017164601/01/2017United Kingdom
" Semi-Manufactures",Clinker,Exports,2018,1016,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesClinkerExports2018101601/01/2018United Kingdom
" Semi-Manufactures",Clinker,Exports,2019,774,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesClinkerExports201977401/01/2019United Kingdom
" Semi-Manufactures",Clinker,Exports,2020,966,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesClinkerExports202096601/01/2020United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2015,783597,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickImports201578359701/01/2015United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2016,838098,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickImports201683809801/01/2016United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2017,859243,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickImports201785924301/01/2017United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2018,883365,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickImports201888336501/01/2018United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2019,798895,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickImports201979889501/01/2019United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2020,832663,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickImports202083266301/01/2020United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Exports,2015,18626,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickExports20151862601/01/2015United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Exports,2016,20373,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickExports20162037301/01/2016United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Exports,2017,26705,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickExports20172670501/01/2017United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Exports,2018,32062,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickExports20183206201/01/2018United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Exports,2019,27762,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickExports20192776201/01/2019United Kingdom
" Semi-Manufactures",Sawn Wood > 6mm thick,Exports,2020,30980,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesSawn Wood > 6mm thickExports20203098001/01/2020United Kingdom
" Semi-Manufactures",Densified Wood,Imports,2015,1748,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesDensified WoodImports2015174801/01/2015United Kingdom
" Semi-Manufactures",Densified Wood,Imports,2016,1507,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesDensified WoodImports2016150701/01/2016United Kingdom
" Semi-Manufactures",Densified Wood,Imports,2017,1400,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesDensified WoodImports2017140001/01/2017United Kingdom
" Semi-Manufactures",Densified Wood,Imports,2018,1662,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesDensified WoodImports2018166201/01/2018United Kingdom
" Semi-Manufactures",Densified Wood,Imports,2019,1742,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesDensified WoodImports2019174201/01/2019United Kingdom
" Semi-Manufactures",Densified Wood,Imports,2020,2905,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesDensified WoodImports2020290501/01/2020United Kingdom
" Semi-Manufactures",Densified Wood,Exports,2015,498,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesDensified WoodExports201549801/01/2015United Kingdom
" Semi-Manufactures",Densified Wood,Exports,2016,588,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesDensified WoodExports201658801/01/2016United Kingdom
" Semi-Manufactures",Densified Wood,Exports,2017,807,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesDensified WoodExports201780701/01/2017United Kingdom
" Semi-Manufactures",Densified Wood,Exports,2018,680,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesDensified WoodExports201868001/01/2018United Kingdom
" Semi-Manufactures",Densified Wood,Exports,2019,821,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesDensified WoodExports201982101/01/2019United Kingdom
" Semi-Manufactures",Densified Wood,Exports,2020,731,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesDensified WoodExports202073101/01/2020United Kingdom
" Semi-Manufactures",Particle Board,Imports,2015,44053,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesParticle BoardImports20154405301/01/2015United Kingdom
" Semi-Manufactures",Particle Board,Imports,2016,52261,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesParticle BoardImports20165226101/01/2016United Kingdom
" Semi-Manufactures",Particle Board,Imports,2017,60441,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesParticle BoardImports20176044101/01/2017United Kingdom
" Semi-Manufactures",Particle Board,Imports,2018,65575,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesParticle BoardImports20186557501/01/2018United Kingdom
" Semi-Manufactures",Particle Board,Imports,2019,56980,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesParticle BoardImports20195698001/01/2019United Kingdom
" Semi-Manufactures",Particle Board,Imports,2020,39228,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesParticle BoardImports20203922801/01/2020United Kingdom
" Semi-Manufactures",Particle Board,Exports,2015,5084,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesParticle BoardExports2015508401/01/2015United Kingdom
" Semi-Manufactures",Particle Board,Exports,2016,6476,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesParticle BoardExports2016647601/01/2016United Kingdom
" Semi-Manufactures",Particle Board,Exports,2017,9815,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesParticle BoardExports2017981501/01/2017United Kingdom
" Semi-Manufactures",Particle Board,Exports,2018,7151,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesParticle BoardExports2018715101/01/2018United Kingdom
" Semi-Manufactures",Particle Board,Exports,2019,8663,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesParticle BoardExports2019866301/01/2019United Kingdom
" Semi-Manufactures",Particle Board,Exports,2020,8029,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesParticle BoardExports2020802901/01/2020United Kingdom
" Semi-Manufactures",Laminated Wood,Imports,2015,148777,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodImports201514877701/01/2015United Kingdom
" Semi-Manufactures",Laminated Wood,Imports,2016,283492,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodImports201628349201/01/2016United Kingdom
" Semi-Manufactures",Laminated Wood,Imports,2017,359909,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodImports201735990901/01/2017United Kingdom
" Semi-Manufactures",Laminated Wood,Imports,2018,360362,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodImports201836036201/01/2018United Kingdom
