Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Year,Current Prices (£'000),Date,Geographical Region,Type,Unique_Key
" Semi-Manufactures",Aluminium for Fabrication,Exports,2019,182048,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Aluminium for Fabrication,Exports,2020,133360,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,2015,29998,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,2016,36600,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,2017,35921,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,2018,38240,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,2019,37069,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,2020,45021,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,2015,22642,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,2016,21331,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,2017,24666,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,2018,27777,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,2019,27552,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,2020,30613,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Imports,2015,8330,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Imports,2016,20782,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Imports,2017,37847,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Imports,2018,33776,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Imports,2019,39019,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Imports,2020,15023,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Exports,2015,2179,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Exports,2016,1202,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Exports,2017,1463,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Exports,2018,950,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Exports,2019,1222,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Slag for Construction,Exports,2020,1262,01/01/2020,United Kingdom,External Trade,
