Date,Production/Deliveries/Stocks,Concrete Block Type,Thousand square metres,Building Material Type,Geographical Region,Unique_Key
01/05/2020,Deliveries(from),Aerated,,Concrete Products,Great Britain,01/05/2020Deliveries(from)AeratedConcrete ProductsGreat Britain
01/05/2020,Stocks,Aerated,3800.86,Concrete Products,Great Britain,01/05/2020StocksAerated3800.86Concrete ProductsGreat Britain
01/06/2020,Seasonally Adjusted Deliveries,All Types,4681.23076988657,Concrete Products,Great Britain,01/06/2020Seasonally Adjusted DeliveriesAll Types4681.23076988657Concrete ProductsGreat Britain
01/06/2020,Production,All Types,5659.234,Concrete Products,Great Britain,01/06/2020ProductionAll Types5659.234Concrete ProductsGreat Britain
01/06/2020,Deliveries(from),All Types,5256.536,Concrete Products,Great Britain,01/06/2020Deliveries(from)All Types5256.536Concrete ProductsGreat Britain
01/06/2020,Stocks,All Types,7982.72,Concrete Products,Great Britain,01/06/2020StocksAll Types7982.72Concrete ProductsGreat Britain
01/06/2020,Production,Dense,2441.915,Concrete Products,Great Britain,01/06/2020ProductionDense2441.915Concrete ProductsGreat Britain
01/06/2020,Deliveries(from),Dense,2054.072,Concrete Products,Great Britain,01/06/2020Deliveries(from)Dense2054.072Concrete ProductsGreat Britain
01/06/2020,Stocks,Dense,2562.227,Concrete Products,Great Britain,01/06/2020StocksDense2562.227Concrete ProductsGreat Britain
01/06/2020,Production,Lightweight,2296.329,Concrete Products,Great Britain,01/06/2020ProductionLightweight2296.329Concrete ProductsGreat Britain
01/06/2020,Deliveries(from),Lightweight,1528.124,Concrete Products,Great Britain,01/06/2020Deliveries(from)Lightweight1528.124Concrete ProductsGreat Britain
01/06/2020,Stocks,Lightweight,2372.983,Concrete Products,Great Britain,01/06/2020StocksLightweight2372.983Concrete ProductsGreat Britain
01/06/2020,Production,Aerated,920.99,Concrete Products,Great Britain,01/06/2020ProductionAerated920.99Concrete ProductsGreat Britain
01/06/2020,Deliveries(from),Aerated,1674.34,Concrete Products,Great Britain,01/06/2020Deliveries(from)Aerated1674.34Concrete ProductsGreat Britain
01/06/2020,Stocks,Aerated,3047.51,Concrete Products,Great Britain,01/06/2020StocksAerated3047.51Concrete ProductsGreat Britain
01/07/2020,Seasonally Adjusted Deliveries,All Types,5577.04108394918,Concrete Products,Great Britain,01/07/2020Seasonally Adjusted DeliveriesAll Types5577.04108394918Concrete ProductsGreat Britain
01/07/2020,Production,All Types,5389.427,Concrete Products,Great Britain,01/07/2020ProductionAll Types5389.427Concrete ProductsGreat Britain
01/07/2020,Deliveries(from),All Types,6617.622,Concrete Products,Great Britain,01/07/2020Deliveries(from)All Types6617.622Concrete ProductsGreat Britain
01/07/2020,Stocks,All Types,5470.951,Concrete Products,Great Britain,01/07/2020StocksAll Types5470.951Concrete ProductsGreat Britain
01/07/2020,Production,Dense,2348.666,Concrete Products,Great Britain,01/07/2020ProductionDense2348.666Concrete ProductsGreat Britain
01/07/2020,Deliveries(from),Dense,2333.782,Concrete Products,Great Britain,01/07/2020Deliveries(from)Dense2333.782Concrete ProductsGreat Britain
01/07/2020,Stocks,Dense,2118.784,Concrete Products,Great Britain,01/07/2020StocksDense2118.784Concrete ProductsGreat Britain
01/07/2020,Production,Lightweight,1653.821,Concrete Products,Great Britain,01/07/2020ProductionLightweight1653.821Concrete ProductsGreat Britain
01/07/2020,Deliveries(from),Lightweight,1838.37,Concrete Products,Great Britain,01/07/2020Deliveries(from)Lightweight1838.37Concrete ProductsGreat Britain
01/07/2020,Stocks,Lightweight,1363.187,Concrete Products,Great Britain,01/07/2020StocksLightweight1363.187Concrete ProductsGreat Britain
01/07/2020,Production,Aerated,1386.94,Concrete Products,Great Britain,01/07/2020ProductionAerated1386.94Concrete ProductsGreat Britain
01/07/2020,Deliveries(from),Aerated,2445.47,Concrete Products,Great Britain,01/07/2020Deliveries(from)Aerated2445.47Concrete ProductsGreat Britain
01/07/2020,Stocks,Aerated,1988.98,Concrete Products,Great Britain,01/07/2020StocksAerated1988.98Concrete ProductsGreat Britain
01/08/2020,Seasonally Adjusted Deliveries,All Types,5725.67273648755,Concrete Products,Great Britain,01/08/2020Seasonally Adjusted DeliveriesAll Types5725.67273648755Concrete ProductsGreat Britain
01/08/2020,Production,All Types,5857.798,Concrete Products,Great Britain,01/08/2020ProductionAll Types5857.798Concrete ProductsGreat Britain
01/08/2020,Deliveries(from),All Types,5804.014,Concrete Products,Great Britain,01/08/2020Deliveries(from)All Types5804.014Concrete ProductsGreat Britain
01/08/2020,Stocks,All Types,5570.253,Concrete Products,Great Britain,01/08/2020StocksAll Types5570.253Concrete ProductsGreat Britain
01/08/2020,Production,Dense,2042.986,Concrete Products,Great Britain,01/08/2020ProductionDense2042.986Concrete ProductsGreat Britain
01/08/2020,Deliveries(from),Dense,1963.767,Concrete Products,Great Britain,01/08/2020Deliveries(from)Dense1963.767Concrete ProductsGreat Britain
01/08/2020,Stocks,Dense,2243.521,Concrete Products,Great Britain,01/08/2020StocksDense2243.521Concrete ProductsGreat Britain
01/08/2020,Production,Lightweight,1582.832,Concrete Products,Great Britain,01/08/2020ProductionLightweight1582.832Concrete ProductsGreat Britain
01/08/2020,Deliveries(from),Lightweight,1545.807,Concrete Products,Great Britain,01/08/2020Deliveries(from)Lightweight1545.807Concrete ProductsGreat Britain
01/08/2020,Stocks,Lightweight,1400.212,Concrete Products,Great Britain,01/08/2020StocksLightweight1400.212Concrete ProductsGreat Britain
01/08/2020,Production,Aerated,2231.98,Concrete Products,Great Britain,01/08/2020ProductionAerated2231.98Concrete ProductsGreat Britain
01/08/2020,Deliveries(from),Aerated,2294.44,Concrete Products,Great Britain,01/08/2020Deliveries(from)Aerated2294.44Concrete ProductsGreat Britain
01/08/2020,Stocks,Aerated,1926.52,Concrete Products,Great Britain,01/08/2020StocksAerated1926.52Concrete ProductsGreat Britain
01/09/2020,Seasonally Adjusted Deliveries,All Types,5863.02227045374,Concrete Products,Great Britain,01/09/2020Seasonally Adjusted DeliveriesAll Types5863.02227045374Concrete ProductsGreat Britain
01/09/2020,Production,All Types,6453.485,Concrete Products,Great Britain,01/09/2020ProductionAll Types6453.485Concrete ProductsGreat Britain
01/09/2020,Deliveries(from),All Types,6567.152,Concrete Products,Great Britain,01/09/2020Deliveries(from)All Types6567.152Concrete ProductsGreat Britain
