Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,2015,2016,2017,2018,2019,2020
" Products & Components",Textile Wall Coverings,Imports,5133,6559,7728,6531,6123,4297
" Products & Components",Textile Wall Coverings,Exports,785,984,1499,1474,3146,3952
" Products & Components",Textile Wall Coverings,,2015,2016,2017,2018,2019,2020
" Products & Components",Fitted Kitchens (assembled),Imports,75096,73920,86086,68062,76419,83002
" Products & Components",Fitted Kitchens (assembled),Exports,22884,17903,30396,33435,25195,23303
" Products & Components",Prefabricated Buildings (wood),Imports,64011,58783,43658,60042,59176,61971
" Products & Components",Prefabricated Buildings (wood),Exports,5438,4403,7618,7712,10862,11324
" Products & Components",Prefabricated Buildings (steel),Imports,59229,73410,66669,79487,55949,90745
" Products & Components",Prefabricated Buildings (steel),Exports,38377,61390,62002,84749,58334,44655
" Products & Components",Prefabricated Buildings (other),Imports,38773,47148,48805,74862,63104,91975
" Products & Components",Prefabricated Buildings (other),Exports,26988,11994,21591,15448,23670,25049
" Products & Components",Mobile Homes,Imports,288,1404,36497,3830,2107,1515
" Products & Components",Mobile Homes,Exports,10784,10702,5658,10736,14017,10088
" Products & Components",Taps & Valves,Imports,396977,410262,443229,425027,443400,367152
" Products & Components",Taps & Valves,Exports,106337,106143,119412,104025,124395,102398
" Products & Components",Pumps (circulating),Imports,38310,47261,38761,65214,76338,64092
" Products & Components",Pumps (circulating),Exports,12767,10483,13573,8978,9494,4068
" Products & Components",Central Heating Boilers,Imports,584030,624423,640815,664916,622362,550581
" Products & Components",Central Heating Boilers,Exports,75463,110656,152292,180696,171280,159651
" Products & Components",Radiators,Imports,184085,191200,210206,213025,240469,225483
" Products & Components",Radiators,Exports,40929,45208,49243,50045,40377,33733
" Products & Components",Water Heaters,Imports,127898,139385,148614,153555,182645,195521
" Products & Components",Water Heaters,Exports,65808,65569,71045,73064,68379,70439
" Products & Components",Space Heaters,Imports,130099,140966,150464,165358,166675,141695
" Products & Components",Space Heaters,Exports,31490,32277,40711,47546,56996,57719
" Products & Components",Fan Systems,Imports,245360,291210,205348,237937,273399,259549
" Products & Components",Fan Systems,Exports,143119,129268,84271,106124,140893,129924
" Products & Components",Air Conditioning Equipment,Imports,518087,585067,663142,659164,665685,551145
" Products & Components",Air Conditioning Equipment,Exports,284946,340891,374499,412136,403255,330377
" Products & Components",Air Purifying Equipment,Imports,78450,97383,104833,128375,159602,157560
" Products & Components",Air Purifying Equipment,Exports,229591,280094,253924,277036,284424,260912
" Products & Components",Hand Driers,Imports,12131,11919,12887,11929,14341,11707
" Products & Components",Hand Driers,Exports,1990,2004,2106,1954,2086,1461
" Products & Components",Meters,Imports,97599,170651,308905,224724,196336,143352
" Products & Components",Meters,Exports,73939,68224,65336,41624,26543,29795
" Products & Components",Plugs & Sockets,Imports,440962,500148,587447,618573,601923,455745
" Products & Components",Plugs & Sockets,Exports,306814,360391,429684,455606,476377,355998
" Products & Components",Electrical Wires,Imports,1555575,1722019,1927463,1902786,1936389,1862726
" Products & Components",Electrical Wires,Exports,685189,711411,855361,866414,878601,930027
" Products & Components",Electrical Insulators,Imports,37547,42682,50524,40384,44061,28801
" Products & Components",Electrical Insulators,Exports,27498,25494,28415,32638,32033,33562
" Products & Components",Lamps & Fittings,Imports,875583,972629,990825,912344,982957,871286
" Products & Components",Lamps & Fittings,Exports,329238,364805,381091,386994,384563,325571
" Products & Components",Fire & Security Alarms,Imports,243331,199177,214030,294986,307678,245628
" Products & Components",Fire & Security Alarms,Exports,261334,259129,268974,248992,249645,192386
" Products & Components",Lifts & Escalators,Imports,125768,139702,175643,173792,152111,160319
" Products & Components",Lifts & Escalators,Exports,21193,25693,26868,26693,30718,40289
