Date,Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Current Prices (£'000),Geographical Region,Type
01/01/2019," Semi-Manufactures",Aluminium for Fabrication,Exports,182048,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Aluminium for Fabrication,Exports,133360,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,29998,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,36600,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,35921,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,38240,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,37069,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,45021,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,22642,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,21331,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,24666,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,27777,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,27552,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,30613,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Slag for Construction,Imports,8330,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Slag for Construction,Imports,20782,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Slag for Construction,Imports,37847,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Slag for Construction,Imports,33776,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Slag for Construction,Imports,39019,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Slag for Construction,Imports,15023,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Slag for Construction,Exports,2179,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Slag for Construction,Exports,1202,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Slag for Construction,Exports,1463,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Slag for Construction,Exports,950,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Slag for Construction,Exports,1222,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Slag for Construction,Exports,1262,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Tar & Bituminous Mixtures,Imports,18665,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Tar & Bituminous Mixtures,Imports,22105,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Tar & Bituminous Mixtures,Imports,19661,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Tar & Bituminous Mixtures,Imports,34211,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Tar & Bituminous Mixtures,Imports,30075,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Tar & Bituminous Mixtures,Imports,18428,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Tar & Bituminous Mixtures,Exports,17210,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Tar & Bituminous Mixtures,Exports,22778,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Tar & Bituminous Mixtures,Exports,20914,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Tar & Bituminous Mixtures,Exports,25029,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Tar & Bituminous Mixtures,Exports,24690,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Tar & Bituminous Mixtures,Exports,18472,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Lime,Imports,2026,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Lime,Imports,1402,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Lime,Imports,1992,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Lime,Imports,1931,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Lime,Imports,2141,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Lime,Imports,1831,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Lime,Exports,23847,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Lime,Exports,24451,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Lime,Exports,27403,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Lime,Exports,22906,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Lime,Exports,24514,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Lime,Exports,19710,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Lime,,2015,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Lime,,2016,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Lime,,2017,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Lime,,2018,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Lime,,2019,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Lime,,2020,United Kingdom,External Trade
