Date,Building Materials & Components Type," Materials & Components Sub-Type",Imports/Exports,Current Prices (Â£'000),Geographical Region,Type,Unique_Key
01/01/2019," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,27762,United Kingdom,External Trade,01/01/2019Semi-ManufacturesSawn Wood > 6mm thickExports27762United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,30980,United Kingdom,External Trade,01/01/2020Semi-ManufacturesSawn Wood > 6mm thickExports30980United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Densified Wood,Imports,1748,United Kingdom,External Trade,01/01/2015Semi-ManufacturesDensified WoodImports1748United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Densified Wood,Imports,1507,United Kingdom,External Trade,01/01/2016Semi-ManufacturesDensified WoodImports1507United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Densified Wood,Imports,1400,United Kingdom,External Trade,01/01/2017Semi-ManufacturesDensified WoodImports1400United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Densified Wood,Imports,1662,United Kingdom,External Trade,01/01/2018Semi-ManufacturesDensified WoodImports1662United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Densified Wood,Imports,1742,United Kingdom,External Trade,01/01/2019Semi-ManufacturesDensified WoodImports1742United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Densified Wood,Imports,2905,United Kingdom,External Trade,01/01/2020Semi-ManufacturesDensified WoodImports2905United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Densified Wood,Exports,498,United Kingdom,External Trade,01/01/2015Semi-ManufacturesDensified WoodExports498United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Densified Wood,Exports,588,United Kingdom,External Trade,01/01/2016Semi-ManufacturesDensified WoodExports588United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Densified Wood,Exports,807,United Kingdom,External Trade,01/01/2017Semi-ManufacturesDensified WoodExports807United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Densified Wood,Exports,680,United Kingdom,External Trade,01/01/2018Semi-ManufacturesDensified WoodExports680United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Densified Wood,Exports,821,United Kingdom,External Trade,01/01/2019Semi-ManufacturesDensified WoodExports821United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Densified Wood,Exports,731,United Kingdom,External Trade,01/01/2020Semi-ManufacturesDensified WoodExports731United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Particle Board,Imports,44053,United Kingdom,External Trade,01/01/2015Semi-ManufacturesParticle BoardImports44053United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Particle Board,Imports,52261,United Kingdom,External Trade,01/01/2016Semi-ManufacturesParticle BoardImports52261United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Particle Board,Imports,60441,United Kingdom,External Trade,01/01/2017Semi-ManufacturesParticle BoardImports60441United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Particle Board,Imports,65575,United Kingdom,External Trade,01/01/2018Semi-ManufacturesParticle BoardImports65575United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Particle Board,Imports,56980,United Kingdom,External Trade,01/01/2019Semi-ManufacturesParticle BoardImports56980United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Particle Board,Imports,39228,United Kingdom,External Trade,01/01/2020Semi-ManufacturesParticle BoardImports39228United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Particle Board,Exports,5084,United Kingdom,External Trade,01/01/2015Semi-ManufacturesParticle BoardExports5084United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Particle Board,Exports,6476,United Kingdom,External Trade,01/01/2016Semi-ManufacturesParticle BoardExports6476United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Particle Board,Exports,9815,United Kingdom,External Trade,01/01/2017Semi-ManufacturesParticle BoardExports9815United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Particle Board,Exports,7151,United Kingdom,External Trade,01/01/2018Semi-ManufacturesParticle BoardExports7151United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Particle Board,Exports,8663,United Kingdom,External Trade,01/01/2019Semi-ManufacturesParticle BoardExports8663United KingdomExternal Trade
